Entity,Year,Births attended by skilled health staff (% of total)
Afghanistan,2000,12.4
Afghanistan,2003,14.3
Afghanistan,2006,18.9
Afghanistan,2008,24
Afghanistan,2010,34.3
Afghanistan,2011,38.6
Afghanistan,2012,39.9
Afghanistan,2014,45.2
Afghanistan,2015,50.5
Afghanistan,2017,53.4
Afghanistan,2018,58.8
Afghanistan,2020,61.8
Albania,1989,92.7
Albania,1990,93
Albania,1991,92.6
Albania,1992,86.4
Albania,1993,87.2
Albania,1994,89.1
Albania,1995,89.1
Albania,1996,91.2
Albania,1997,98.8
Albania,1998,99.1
Albania,1999,99
Albania,2000,99.1
Albania,2001,99
Albania,2002,98
Albania,2003,98.8
Albania,2004,99.3
Albania,2005,99.8
Albania,2006,99
Albania,2009,99.3
Albania,2018,99.8
Algeria,1992,76.5
Algeria,2000,92
Algeria,2002,95.9
Algeria,2006,95.2
Algeria,2013,96.6
Algeria,2019,98.8
American Samoa,2002,100
Andorra,2015,100
Andorra,2016,100
Andorra,2017,100
Angola,1996,22.5
Angola,2001,44.7
Angola,2007,47.3
Angola,2016,49.6
Antigua and Barbuda,1995,100
Antigua and Barbuda,1996,100
Antigua and Barbuda,1998,100
Antigua and Barbuda,2000,99.9
Antigua and Barbuda,2001,100
Antigua and Barbuda,2002,99
Antigua and Barbuda,2003,99
Antigua and Barbuda,2004,100
Antigua and Barbuda,2005,99.9
Antigua and Barbuda,2006,99.9
Antigua and Barbuda,2007,100
Antigua and Barbuda,2008,100
Antigua and Barbuda,2009,100
Antigua and Barbuda,2010,100
Antigua and Barbuda,2012,100
Antigua and Barbuda,2013,100
Antigua and Barbuda,2014,100
Antigua and Barbuda,2015,100
Antigua and Barbuda,2017,100
Antigua and Barbuda,2020,99
Argentina,1990,96.9
Argentina,1992,95.8
Argentina,1995,98.5
Argentina,1997,97.2
Argentina,1998,97.5
Argentina,1999,97.5
Argentina,2000,99.1
Argentina,2001,98.4
Argentina,2002,98.9
Argentina,2003,98.7
Argentina,2004,99.1
Argentina,2005,99.1
Argentina,2006,99.4
Argentina,2007,99.4
Argentina,2008,94.8
Argentina,2009,97.9
Argentina,2010,95
Argentina,2011,97.1
Argentina,2012,98.2
Argentina,2013,97
Argentina,2014,99.6
Argentina,2015,99.6
Argentina,2016,98.4
Argentina,2017,93.9
Argentina,2018,99.5
Argentina,2019,99.6
Argentina,2020,98.8
Armenia,1989,99.7
Armenia,1990,99.7
Armenia,1991,99.7
Armenia,1992,98.3
Armenia,1993,95.5
Armenia,1994,93.3
Armenia,1995,93.1
Armenia,1996,95.7
Armenia,1997,96.4
Armenia,1998,97.4
Armenia,1999,98.8
Armenia,2000,96.8
Armenia,2001,98.4
Armenia,2002,98.8
Armenia,2003,99.2
Armenia,2004,99.5
Armenia,2005,97.8
Armenia,2006,99.7
Armenia,2007,99.9
Armenia,2008,99.9
Armenia,2009,100
Armenia,2010,99.5
Armenia,2011,100
Armenia,2012,100
Armenia,2013,100
Armenia,2014,100
Armenia,2016,99.8
Aruba,2002,96
Australia,1991,99.6
Australia,1992,99.3
Australia,1993,99.3
Australia,1994,99.4
Australia,1995,99.3
Australia,1996,99.3
Australia,1997,99.3
Australia,1998,99.3
Australia,1999,99.3
Australia,2000,99.3
Australia,2001,99.3
Australia,2002,99.3
Australia,2003,99.3
Australia,2004,99.3
Australia,2005,99.4
Australia,2006,99.3
Australia,2007,99.2
Australia,2008,99.1
Australia,2009,99.1
Australia,2010,99.1
Australia,2011,99.1
Australia,2012,99.2
Australia,2013,99
Australia,2014,99.8
Australia,2015,98.8
Australia,2016,98.8
Australia,2017,99.4
Australia,2018,98.7
Australia,2019,98.8
Australia,2020,96
Austria,1993,100
Austria,1996,98.2
Austria,1997,98.2
Austria,1998,98.3
Austria,1999,98.3
Austria,2000,98.3
Austria,2001,98.3
Austria,2002,98.4
Austria,2003,98.4
Austria,2004,98.4
Austria,2005,98.6
Austria,2006,98.6
Austria,2007,98.5
Austria,2008,98.6
Austria,2009,98.6
Austria,2010,98.5
Austria,2011,98.6
Austria,2012,98.5
Austria,2013,98.5
Austria,2014,98.5
Austria,2015,98.5
Austria,2016,98.4
Austria,2017,98.4
Austria,2018,98.4
Austria,2019,98.4
Austria,2020,98.1
Azerbaijan,1989,97.3
Azerbaijan,1990,97.3
Azerbaijan,1991,97.2
Azerbaijan,1992,96.5
Azerbaijan,1993,96.3
Azerbaijan,1994,99.6
Azerbaijan,1995,91.5
Azerbaijan,1996,87.9
Azerbaijan,1997,90.4
Azerbaijan,1998,91.5
Azerbaijan,1999,92.4
Azerbaijan,2000,80.7
Azerbaijan,2001,88
Azerbaijan,2002,94
Azerbaijan,2003,95.8
Azerbaijan,2004,95.9
Azerbaijan,2005,94.4
Azerbaijan,2006,88.6
Azerbaijan,2007,93
Azerbaijan,2008,98
Azerbaijan,2009,99.8
Azerbaijan,2010,99.4
Azerbaijan,2011,97.2
Azerbaijan,2012,99.8
Azerbaijan,2013,99.9
Azerbaijan,2014,99.9
Azerbaijan,2015,99.8
Azerbaijan,2016,99.8
Azerbaijan,2017,99.8
Azerbaijan,2018,99.4
Azerbaijan,2019,99.9
Azerbaijan,2020,99.9
Azerbaijan,2021,99.9
Bahamas,1990,99
Bahamas,1995,99
Bahamas,1997,99
Bahamas,1998,99
Bahamas,1999,99
Bahamas,2000,99
Bahamas,2001,99
Bahamas,2002,99
Bahamas,2003,99
Bahamas,2004,98
Bahamas,2005,98.7
Bahamas,2006,99
Bahamas,2007,98.4
Bahamas,2008,98.5
Bahamas,2009,98.9
Bahamas,2010,99.1
Bahamas,2011,99.1
Bahamas,2012,98.9
Bahamas,2013,98.6
Bahamas,2014,98.9
Bahamas,2015,98
Bahamas,2016,99
Bahamas,2018,99
Bahamas,2019,99
Bahrain,1995,97.6
Bahrain,2000,97.7
Bahrain,2001,97.5
Bahrain,2002,97.6
Bahrain,2003,97.8
Bahrain,2004,97.7
Bahrain,2005,97.5
Bahrain,2006,97.5
Bahrain,2007,97.4
Bahrain,2008,97.5
Bahrain,2009,99.4
Bahrain,2010,99.3
Bahrain,2011,99.6
Bahrain,2012,99.8
Bahrain,2013,99.8
Bahrain,2014,99.8
Bahrain,2015,99.9
Bahrain,2016,99.7
Bahrain,2017,99.9
Bahrain,2018,99.6
Bahrain,2019,99.6
Bangladesh,1994,9.5
Bangladesh,1997,7.7
Bangladesh,2000,12.1
Bangladesh,2001,12
Bangladesh,2003,13.9
Bangladesh,2004,13.2
Bangladesh,2006,20.1
Bangladesh,2007,18
Bangladesh,2009,24.4
Bangladesh,2010,26.5
Bangladesh,2011,31.7
Bangladesh,2013,36.5
Bangladesh,2014,42.1
Bangladesh,2016,49.8
Bangladesh,2017,67.8
Bangladesh,2018,52.7
Bangladesh,2019,59
Barbados,1995,100
Barbados,1999,91
Barbados,2000,98
Barbados,2002,100
Barbados,2003,100
Barbados,2004,100
Barbados,2005,100
Barbados,2006,100
Barbados,2007,100
Barbados,2008,100
Barbados,2009,100
Barbados,2011,100
Barbados,2012,98.9
Barbados,2013,98.6
Barbados,2014,99.8
Barbados,2015,99
Barbados,2016,99.1
Barbados,2018,99
Barbados,2019,98
Barbados,2020,98.4
Belarus,1986,100
Belarus,1989,99.9
Belarus,1990,99.9
Belarus,1991,99.9
Belarus,1992,99.9
Belarus,1993,99.9
Belarus,1994,99.9
Belarus,1995,99.9
Belarus,1996,99.9
Belarus,1997,99.9
Belarus,1998,99.9
Belarus,1999,99.9
Belarus,2000,99.9
Belarus,2001,99.9
Belarus,2002,99.9
Belarus,2003,99.9
Belarus,2004,99.9
Belarus,2005,100
Belarus,2006,99.9
Belarus,2007,99.9
Belarus,2008,99.9
Belarus,2009,99.9
Belarus,2010,99.9
Belarus,2011,99.8
Belarus,2012,100
Belarus,2013,99.8
Belarus,2014,99.8
Belarus,2019,99.9
Belarus,2020,99.9
Belgium,1987,100
Belgium,1999,99.3
Belize,1991,76.9
Belize,1995,79
Belize,1998,79
Belize,1999,83.8
Belize,2000,90.2
Belize,2002,97
Belize,2004,87.8
Belize,2005,89.3
Belize,2006,95.8
Belize,2007,90.7
Belize,2008,94.9
Belize,2009,93.5
Belize,2010,94
Belize,2011,96.2
Belize,2012,93.7
Belize,2013,93
Belize,2014,93.1
Belize,2015,93.5
Belize,2016,96.8
Belize,2017,95.3
Belize,2018,94.8
Belize,2019,95.3
Belize,2020,94.6
Benin,1996,59.8
Benin,2001,65.5
Benin,2005,75
Benin,2006,74
Benin,2012,80.9
Benin,2014,77.2
Benin,2018,78.1
Bermuda,2018,99.4
Bhutan,1994,12
Bhutan,2000,27.3
Bhutan,2003,56.1
Bhutan,2005,52.3
Bhutan,2006,57.1
Bhutan,2007,71.4
Bhutan,2008,66.3
Bhutan,2009,66
Bhutan,2010,64.5
Bhutan,2011,70
Bhutan,2012,74.6
Bhutan,2013,89
Bhutan,2014,89
Bhutan,2015,89
Bhutan,2016,89
Bhutan,2017,96.4
Bhutan,2018,96.2
Bhutan,2019,96.3
Bhutan,2020,99.3
Bhutan,2021,98.9
Bolivia,1989,42.1
Bolivia,1994,47.2
Bolivia,1998,56.7
Bolivia,2000,67.3
Bolivia,2002,65.1
Bolivia,2003,60.8
Bolivia,2004,60.8
Bolivia,2008,71.1
Bolivia,2011,84
Bolivia,2012,82.1
Bolivia,2013,84.2
Bolivia,2014,83.9
Bolivia,2015,88.8
Bolivia,2016,89.8
Bolivia,2017,99.5
Bolivia,2018,71.5
Bolivia,2019,81.1
Bosnia and Herzegovina,1989,96.6
Bosnia and Herzegovina,1990,97
Bosnia and Herzegovina,1991,97.4
Bosnia and Herzegovina,1996,98.9
Bosnia and Herzegovina,1997,98.7
Bosnia and Herzegovina,1998,99.3
Bosnia and Herzegovina,1999,99.6
Bosnia and Herzegovina,2000,98.9
Bosnia and Herzegovina,2001,99.9
Bosnia and Herzegovina,2002,99.9
Bosnia and Herzegovina,2003,99.9
Bosnia and Herzegovina,2004,99.9
Bosnia and Herzegovina,2005,99.9
Bosnia and Herzegovina,2006,99.4
Bosnia and Herzegovina,2007,99.9
Bosnia and Herzegovina,2008,99.9
Bosnia and Herzegovina,2009,99.9
Bosnia and Herzegovina,2010,99.9
Bosnia and Herzegovina,2011,99.9
Bosnia and Herzegovina,2012,99.9
Bosnia and Herzegovina,2014,99.9
Bosnia and Herzegovina,2015,99.9
Bosnia and Herzegovina,2016,99.9
Bosnia and Herzegovina,2017,99.9
Bosnia and Herzegovina,2018,99.9
Bosnia and Herzegovina,2019,99.9
Botswana,1988,77.4
Botswana,1996,87
Botswana,2000,98.5
Botswana,2001,92
Botswana,2002,96.5
Botswana,2003,96.1
Botswana,2004,97.3
Botswana,2005,94
Botswana,2006,99.3
Botswana,2007,94.6
Botswana,2008,98.3
Botswana,2009,99.5
Botswana,2010,99.1
Botswana,2011,99.8
Botswana,2012,99.8
Botswana,2013,99.9
Botswana,2014,99.5
Botswana,2015,99.7
Botswana,2016,99.7
Botswana,2017,99.8
Brazil,1991,69.5
Brazil,1996,87.3
Brazil,1997,98.6
Brazil,1998,98.6
Brazil,1999,98.6
Brazil,2000,98.6
Brazil,2001,98.3
Brazil,2002,98.5
Brazil,2003,98.4
Brazil,2004,98.6
Brazil,2005,98.6
Brazil,2006,97
Brazil,2007,98.6
Brazil,2008,98.8
Brazil,2009,98.9
Brazil,2010,98.9
Brazil,2011,99
Brazil,2012,99
Brazil,2013,98
Brazil,2014,98.4
Brazil,2015,98.2
Brazil,2016,98.6
Brazil,2017,98.7
Brazil,2018,98.8
Brazil,2019,98.4
Brazil,2020,98.4
British Virgin Islands,1995,100
British Virgin Islands,1999,100
British Virgin Islands,2005,100
Brunei,1991,97.8
Brunei,1992,98
Brunei,1993,97.8
Brunei,1994,98.2
Brunei,1995,96.2
Brunei,1996,98.9
Brunei,1997,99.6
Brunei,1998,99.3
Brunei,1999,99.4
Brunei,2000,99.2
Brunei,2001,99.7
Brunei,2002,99.6
Brunei,2003,99.6
Brunei,2004,99.6
Brunei,2005,99.7
Brunei,2006,99.7
Brunei,2007,99.9
Brunei,2008,99.7
Brunei,2009,99.9
Brunei,2010,99.8
Brunei,2011,99.7
Brunei,2012,99.8
Brunei,2013,99.7
Brunei,2014,99.9
Brunei,2015,100
Brunei,2016,100
Brunei,2017,99.8
Brunei,2018,99.8
Brunei,2019,99.6
Brunei,2020,99.7
Brunei,2021,99.6
Bulgaria,1989,99.3
Bulgaria,1990,99.1
Bulgaria,1991,99.5
Bulgaria,1992,99.8
Bulgaria,1993,99
Bulgaria,1994,99
Bulgaria,1995,98.9
Bulgaria,1996,99.9
Bulgaria,1997,99.9
Bulgaria,1998,99.88003
Bulgaria,1999,99
Bulgaria,2000,99.8
Bulgaria,2001,98.9
Bulgaria,2002,99.2
Bulgaria,2003,99.2
Bulgaria,2004,99.4
Bulgaria,2005,99.4
Bulgaria,2006,99.4
Bulgaria,2007,99.6
Bulgaria,2008,99.6
Bulgaria,2009,99.6
Bulgaria,2010,99.5
Bulgaria,2013,99.7
Bulgaria,2014,99.7
Bulgaria,2015,93.4
Bulgaria,2016,95.1
Bulgaria,2017,93.9
Bulgaria,2018,93
Bulgaria,2019,92.3
Bulgaria,2020,94.6
Bulgaria,2021,94.5
Burkina Faso,1993,41.4
Burkina Faso,1999,30.9
Burkina Faso,2003,37.8
Burkina Faso,2006,53.5
Burkina Faso,2010,65.9
Burkina Faso,2015,79.8
Burundi,1987,19.1
Burundi,2000,25.2
Burundi,2005,31.8
Burundi,2010,60.3
Burundi,2012,78.4
Burundi,2016,77.6
Burundi,2017,79.1
Burundi,2018,86.2
Burundi,2019,98.6
Burundi,2020,87.4
Burundi,2021,76.5
Cambodia,1995,43.3
Cambodia,1998,34
Cambodia,2000,31.8
Cambodia,2004,16.3
Cambodia,2005,43.8
Cambodia,2006,43.8
Cambodia,2010,71
Cambodia,2011,71
Cambodia,2012,74
Cambodia,2014,89
Cambodia,2022,98.7
Cameroon,1991,63.5
Cameroon,1998,55
Cameroon,2000,56
Cameroon,2004,58.9
Cameroon,2006,58.9
Cameroon,2011,56.1
Cameroon,2014,64.7
Cameroon,2018,69
Canada,1987,100
Canada,1991,99.1
Canada,1992,99.6
Canada,1993,99.4
Canada,1994,99.3
Canada,1995,99.4
Canada,1996,99.2
Canada,1997,99.3
Canada,1998,99.3
Canada,1999,99.2
Canada,2000,99.3
Canada,2001,99.3
Canada,2002,99.3
Canada,2003,98.9
Canada,2004,99
Canada,2005,98.8
Canada,2006,100
Canada,2007,98.8
Canada,2008,98.7
Canada,2009,98.6
Canada,2010,98.5
Canada,2011,98.4
Canada,2012,98.1
Canada,2013,98
Canada,2014,97.9
Canada,2015,97.9
Canada,2016,97.8
Canada,2017,97.9
Canada,2018,98
Canada,2019,98
Canada,2020,98
Cape Verde,1995,54
Cape Verde,1998,88.5
Cape Verde,2005,77.5
Cape Verde,2006,76.4
Cape Verde,2007,74.4
Cape Verde,2008,74.6
Cape Verde,2009,75.6
Cape Verde,2010,98.5
Cape Verde,2011,98.7
Cape Verde,2013,92.3
Cape Verde,2014,95.6
Cape Verde,2015,91.4
Cape Verde,2016,92.6
Cape Verde,2017,92.4
Cape Verde,2018,97.3
Cayman Islands,2005,100
Central African Republic,1995,45.9
Central African Republic,2000,31.7
Central African Republic,2006,41.4
Central African Republic,2008,43.7
Central African Republic,2009,43.7
Central African Republic,2010,40
Central African Republic,2019,40.3
Chad,1997,12.2
Chad,2000,13.7
Chad,2004,14.4
Chad,2010,16.6
Chad,2015,24.3
Chad,2019,47.2
Chile,1993,99
Chile,1994,99.5
Chile,1995,99.5
Chile,1996,99.6
Chile,1997,99.4
Chile,1998,99.6
Chile,1999,99.4
Chile,2000,99.8
Chile,2001,99.8
Chile,2002,99.8
Chile,2003,99.8
Chile,2004,99.8
Chile,2005,99.8
Chile,2006,99.8
Chile,2007,99.7
Chile,2008,99.8
Chile,2009,99.8
Chile,2010,99.8
Chile,2011,99.9
Chile,2012,99.8
Chile,2013,99.8
Chile,2014,99.8
Chile,2015,99.7
Chile,2016,99.7
Chile,2017,99.8
Chile,2018,99.8
Chile,2019,99.8
China,1990,94
China,1991,93.7
China,1992,84.1
China,1993,83.6
China,1994,90.4
China,1995,89.3
China,1996,93.1
China,1997,93.8
China,1999,96.8
China,2000,96.6
China,2001,97.3
China,2002,96.7
China,2003,95.9
China,2004,97.3
China,2005,97.5
China,2006,97.8
China,2007,98.4
China,2008,99.1
China,2009,99.3
China,2010,99.6
China,2011,99.7
China,2012,99.8
China,2013,99.9
China,2014,99.9
China,2015,99.9
China,2016,99.9
Colombia,1986,71.1
Colombia,1990,80.6
Colombia,1995,84.5
Colombia,1998,91.3
Colombia,1999,92.1
Colombia,2000,86.1
Colombia,2001,93.1
Colombia,2002,94.5
Colombia,2003,95
Colombia,2004,95.6
Colombia,2005,90.7
Colombia,2006,97.1
Colombia,2007,97.8
Colombia,2008,98.1
Colombia,2009,98.6
Colombia,2010,94.8
Colombia,2011,99.2
Colombia,2012,98.7
Colombia,2013,98.7
Colombia,2014,98.9
Colombia,2015,99
Colombia,2016,95.9
Colombia,2017,99.3
Colombia,2018,98.4
Colombia,2019,98.8
Comoros,1996,51.6
Comoros,2000,61.8
Comoros,2012,82.2
Congo,2005,83.4
Congo,2012,92.5
Congo,2015,91.2
Costa Rica,1986,97
Costa Rica,1992,98
Costa Rica,1993,97
Costa Rica,1998,98
Costa Rica,1999,98.2
Costa Rica,2000,96.6
Costa Rica,2001,98
Costa Rica,2002,98.5
Costa Rica,2003,98.2
Costa Rica,2004,98.5
Costa Rica,2005,98.5
Costa Rica,2006,98.6
Costa Rica,2007,98.7
Costa Rica,2008,99.1
Costa Rica,2009,99.1
Costa Rica,2010,95.3
Costa Rica,2011,98.4
Costa Rica,2012,98.9
Costa Rica,2013,99
Costa Rica,2014,99.2
Costa Rica,2015,90
Costa Rica,2016,98.8
Costa Rica,2017,98.7
Costa Rica,2018,98.5
Costa Rica,2019,99
Cote d'Ivoire,1994,45.4
Cote d'Ivoire,1999,47.1
Cote d'Ivoire,2000,62.8
Cote d'Ivoire,2004,68
Cote d'Ivoire,2005,55.1
Cote d'Ivoire,2006,56.8
Cote d'Ivoire,2012,59.4
Cote d'Ivoire,2016,73.6
Cote d'Ivoire,2021,84
Croatia,1989,99.7
Croatia,1990,99.8
Croatia,1991,99.8
Croatia,1992,99.8
Croatia,1993,99.8
Croatia,1994,99.8
Croatia,1995,99.9
Croatia,1996,99.8
Croatia,1997,99.9
Croatia,1998,99.9
Croatia,1999,99.9
Croatia,2000,99.9
Croatia,2001,99.9
Croatia,2002,99.9
Croatia,2003,99.9
Croatia,2004,99.9
Croatia,2005,99.9
Croatia,2006,99.9
Croatia,2007,99.9
Croatia,2008,99.9
Croatia,2009,99.9
Croatia,2010,99.9
Croatia,2011,99.9
Croatia,2012,99.9
Croatia,2013,99.9
Croatia,2014,99.9
Croatia,2015,99.9
Croatia,2016,99.9
Croatia,2017,99.9
Croatia,2019,99.9
Cuba,1990,99.8
Cuba,1991,99.8
Cuba,1992,99.8
Cuba,1993,99.8
Cuba,1994,99.8
Cuba,1995,99.8
Cuba,1996,99.8
Cuba,1997,99.9
Cuba,1998,99.9
Cuba,1999,99.9
Cuba,2000,99.9
Cuba,2001,99.9
Cuba,2002,99.9
Cuba,2003,99.9
Cuba,2004,99.9
Cuba,2005,99.9
Cuba,2006,99.9
Cuba,2007,99.9
Cuba,2008,99.9
Cuba,2009,99.9
Cuba,2010,99.9
Cuba,2011,99.9
Cuba,2012,99.9
Cuba,2013,99.9
Cuba,2014,99.4
Cuba,2015,99.9
Cuba,2016,99.9
Cuba,2017,99.9
Cuba,2018,99.9
Cuba,2019,100
Cyprus,1990,100
Cyprus,1991,100
Cyprus,1992,100
Cyprus,1993,100
Cyprus,1994,100
Cyprus,1995,100
Cyprus,1996,100
Cyprus,1997,100
Cyprus,1998,100
Cyprus,1999,100
Cyprus,2000,97.9
Cyprus,2003,99
Cyprus,2004,95.7
Cyprus,2005,99.3
Cyprus,2006,98.5
Cyprus,2007,98.3
Cyprus,2008,97.2
Cyprus,2009,98.3
Cyprus,2010,98.6
Cyprus,2011,98.3
Cyprus,2012,98.7
Cyprus,2013,99.9
Cyprus,2014,97.4
Cyprus,2015,97.1
Cyprus,2016,95.6
Cyprus,2017,96
Cyprus,2018,98.3
Cyprus,2019,99.3
Czechia,1989,100
Czechia,1990,100
Czechia,1991,100
Czechia,1992,100
Czechia,1993,100
Czechia,1994,100
Czechia,1995,100
Czechia,1996,100
Czechia,1997,100
Czechia,1998,99.9
Czechia,1999,99.9
Czechia,2000,99.8
Czechia,2001,99.8
Czechia,2002,99.8
Czechia,2003,99.8
Czechia,2004,99.8
Czechia,2005,99.8
Czechia,2006,99.7
Czechia,2007,99.7
Czechia,2008,99.6
Czechia,2009,99.6
Czechia,2010,99.7
Czechia,2011,99.9
Czechia,2012,99.9
Czechia,2013,99.8
Czechia,2014,99.8
Czechia,2017,99.8
Democratic Republic of Congo,2001,60.7
Democratic Republic of Congo,2007,64.4
Democratic Republic of Congo,2010,74.1
Democratic Republic of Congo,2014,80.1
Democratic Republic of Congo,2018,85.2
Denmark,1987,100
Denmark,1997,98.3
Denmark,1998,98.8
Denmark,1999,98.7
Denmark,2000,98.8
Denmark,2001,98.9
Denmark,2002,98.8
Denmark,2003,98.9
Denmark,2004,98.6
Denmark,2005,98.8
Denmark,2006,98.7
Denmark,2007,97.8
Denmark,2009,98.7
Denmark,2010,98.5
Denmark,2011,98.5
Denmark,2012,98.2
Denmark,2013,96.3
Denmark,2014,95.9
Denmark,2015,95.4
Denmark,2016,94.4
Denmark,2017,95.1
Denmark,2018,95.3
Djibouti,2003,60.6
Djibouti,2006,78.4
Djibouti,2012,87.4
Dominica,1995,100
Dominica,1998,95
Dominica,1999,99.9
Dominica,2000,100
Dominica,2001,100
Dominica,2002,100
Dominica,2003,100
Dominica,2004,100
Dominica,2005,99
Dominica,2007,94
Dominica,2008,100
Dominica,2009,100
Dominica,2010,100
Dominica,2011,100
Dominica,2012,100
Dominica,2013,100
Dominica,2014,100
Dominica,2015,100
Dominica,2016,100
Dominica,2017,100
Dominica,2018,100
Dominica,2019,100
Dominica,2020,100
Dominican Republic,1986,89.8
Dominican Republic,1991,92.2
Dominican Republic,1996,95.3
Dominican Republic,1999,97.4
Dominican Republic,2000,97.6
Dominican Republic,2002,97.8
Dominican Republic,2006,95.5
Dominican Republic,2007,97.8
Dominican Republic,2010,97.8
Dominican Republic,2011,98.7
Dominican Republic,2012,98.8
Dominican Republic,2013,98.6
Dominican Republic,2014,98.6
Dominican Republic,2015,99.6
Dominican Republic,2016,99.8
Dominican Republic,2017,99.8
Dominican Republic,2018,99.7
Dominican Republic,2019,99.2
East Asia and Pacific (WB),1990,85.00626
East Asia and Pacific (WB),2000,85.26599
East Asia and Pacific (WB),2010,92.39386
East Asia and Pacific (WB),2019,95.3852
East Timor,1997,25.8
East Timor,2002,24
East Timor,2003,18.4
East Timor,2010,29.3
East Timor,2016,56.7
Ecuador,1987,61.3
Ecuador,1994,98.7
Ecuador,1999,99.1
Ecuador,2000,70.9
Ecuador,2001,71.4
Ecuador,2002,73.7
Ecuador,2003,75.1
Ecuador,2004,76.4
Ecuador,2005,78.5
Ecuador,2006,80.6
Ecuador,2007,82
Ecuador,2008,84
Ecuador,2009,85.6
Ecuador,2010,87.4
Ecuador,2011,89.7
Ecuador,2012,91.7
Ecuador,2013,93.3
Ecuador,2014,94.7
Ecuador,2015,94.2
Ecuador,2016,94.1
Ecuador,2017,95.6
Ecuador,2018,95.9
Ecuador,2019,97.2
Ecuador,2020,99.4
Egypt,1988,34.6
Egypt,1991,36.5
Egypt,1992,40.7
Egypt,1993,40.7
Egypt,1995,46.2
Egypt,1996,46.3
Egypt,1997,56.4
Egypt,1998,55.2
Egypt,2000,60.9
Egypt,2003,69.4
Egypt,2005,74.2
Egypt,2008,78.9
Egypt,2014,91.5
Egypt,2021,97.1
El Salvador,1985,85.4
El Salvador,1988,90
El Salvador,1993,87.4
El Salvador,1998,90.4
El Salvador,2003,92.4
El Salvador,2005,87.2
El Salvador,2006,89.6
El Salvador,2007,93.1
El Salvador,2008,95.5
El Salvador,2009,97.5
El Salvador,2010,98
El Salvador,2011,99
El Salvador,2012,99.5
El Salvador,2013,99.8
El Salvador,2014,98
El Salvador,2015,99.9
El Salvador,2016,99.9
El Salvador,2017,99.9
El Salvador,2018,99.9
Equatorial Guinea,1994,5
Equatorial Guinea,2000,64.6
Equatorial Guinea,2011,68.3
Eritrea,1995,20.6
Eritrea,1996,20.6
Eritrea,2002,28.3
Eritrea,2010,34.1
Estonia,1989,99
Estonia,1992,98.9
Estonia,1993,99.1
Estonia,1994,99.1
Estonia,1995,99.3
Estonia,1996,99.4
Estonia,1997,99.3
Estonia,1998,99.5
Estonia,1999,99.5
Estonia,2000,99.6
Estonia,2001,99.6
Estonia,2002,99.6
Estonia,2003,99.5
Estonia,2004,99.8
Estonia,2005,99.7
Estonia,2006,99.7
Estonia,2007,99.7
Estonia,2008,99.7
Estonia,2009,99.7
Estonia,2010,99.8
Estonia,2011,99.7
Estonia,2012,99.8
Estonia,2013,99.7
Estonia,2014,99.7
Estonia,2015,99.7
Estonia,2016,99.7
Estonia,2017,99.5
Estonia,2018,99.6
Estonia,2019,99.7
Estonia,2020,99.6
Eswatini,1994,56
Eswatini,2000,65.4
Eswatini,2002,74
Eswatini,2007,69
Eswatini,2010,82
Eswatini,2014,88.3
Ethiopia,1998,6.5
Ethiopia,2000,5.6
Ethiopia,2004,6.4
Ethiopia,2005,5.7
Ethiopia,2011,10
Ethiopia,2013,23.1
Ethiopia,2014,15.5
Ethiopia,2016,27.7
Ethiopia,2019,49.8
Europe and Central Asia (WB),2000,95.38834
Europe and Central Asia (WB),2010,98.307076
Europe and Central Asia (WB),2019,98.42766
European Union (27),2000,99.3872
European Union (27),2010,98.654045
European Union (27),2019,98.09503
Fiji,1990,95.3
Fiji,1991,94.5
Fiji,1993,97.6
Fiji,1994,96.2
Fiji,1995,96.2
Fiji,1996,96.3
Fiji,1997,96.2
Fiji,1998,96.7
Fiji,1999,96.4
Fiji,2000,96.9
Fiji,2001,98.4
Fiji,2002,96.9
Fiji,2003,96.7
Fiji,2004,97
Fiji,2005,97.2
Fiji,2006,99.3
Fiji,2007,99
Fiji,2008,98.8
Fiji,2009,99.8
Fiji,2010,99.7
Fiji,2011,99.6
Fiji,2012,99.3
Fiji,2013,98.8
Fiji,2014,99.7
Fiji,2015,99.9
Fiji,2016,99.8
Fiji,2021,99.8
Finland,1990,98.8
Finland,1992,98.6
Finland,1993,98.6
Finland,1994,98.5
Finland,1995,98.5
Finland,1996,98.4
Finland,1997,98.4
Finland,1998,98.3
Finland,1999,98.4
Finland,2000,99.9
Finland,2001,99.9
Finland,2002,99.9
Finland,2003,99.9
Finland,2004,99.8
Finland,2005,99.9
Finland,2006,99.8
Finland,2007,99.8
Finland,2008,99.8
Finland,2009,99.8
Finland,2010,99.8
Finland,2011,99.8
Finland,2012,99.8
Finland,2013,99.7
Finland,2014,99.7
Finland,2015,99.7
Finland,2016,99.6
Finland,2017,99.6
Finland,2018,99.6
Finland,2019,99.5
Finland,2020,99.6
Finland,2021,99.5
France,1993,99
France,2001,99.6
France,2004,98
France,2005,97.9
France,2006,98.3
France,2007,98.1
France,2008,98
France,2009,97.9
France,2010,97.5
France,2011,96.2
France,2012,97.1
France,2013,98.3
France,2014,98.3
France,2015,97.7
France,2016,97.4
France,2017,98
France,2018,98.1
France,2019,97.6
France,2020,98.2
French Polynesia,2000,99
Gabon,2000,82.6
Gabon,2001,85.5
Gabon,2012,89.3
Gambia,1990,44.1
Gambia,2000,51.6
Gambia,2006,52.1
